authorizer,enterer,modifier,reference_no,author1init,author1last,author2init,author2last,otherauthors,pubyr,reftitle,pubtitle,editors,pubvol,pubno,firstpage,lastpage,publication_type,basis,language,doi,comments,project_name,project_ref_no,created,modified
"A. Miller","A. Hendy","A. Hendy",10058,"R. C.",Allison,,,,1973,"Marine paleoclimatology and paleoecology of a Pleistocene invertebrate fauna from Amchitka Island, Aleutian Islands, Alaska","Palaeogeography, Palaeoclimatology, Palaeoecology",,13,,15-48,,"journal article","stated without evidence",,,,,,"2004-03-18 17:32:07","2004-03-19 12:32:07"
"A. Miller","A. Hendy","A. Hendy",10059,"R. C.",Allison,L.,Marincovich,,1981,"A late Oligocene or earliest Miocene molluscan fauna from Stikinak Island, Alaska","United States Geological Survey Professional Paper",,1233,,1,11,"journal article","stated without evidence",,,,,,"2004-03-18 19:33:26","2004-03-19 14:33:26"
"A. Miller","A. Hendy","A. Hendy",13478,"W. D.",Allmon,,,,1990,"Review of the Bullia Group (Gastropoda: Nassariidae) with comments on its evolution, biogeography, and Phylogeny","Bulletins of American Paleontology",,99,335,1,179,"serial monograph","stated without evidence",,,,,,"2005-05-09 07:30:10","2005-05-10 00:30:10"
"W. Kiessling","A. Girndt",,25958,J.,Alloiteau,,,,1952,"Note sur des polypiers du Senegal","Extrait du bulletin de la direction des mines",,,14,9,18,"journal article","stated without evidence",French,,"Gouvernement général de l'Afrique occidentale francaise",,,"2007-11-30 01:21:26","2007-11-30 20:21:26"
"W. Kiessling","U. Merkel",,29108,J.,Alloiteau,,,,1958,"Monographie des madreporaires fossiles de Madagascar [Monograph of fossil corals from Madagascar]","Annales Geologiques de Madagascar",,25,,1,218,"serial monograph","stated with evidence",French,,,,,"2009-02-02 03:57:49","2009-02-02 22:57:49"
"W. Kiessling","A. Girndt",,25962,J.,Alloiteau,J.,Tissier,,1958,,"Les madréporaires du montien des petites pyrénées   (Comparaison avec ceux du Montien de Mons)",,,,241,293,"serial monograph","stated without evidence",French,,,,,"2007-11-30 04:54:58","2007-11-30 23:54:58"
"J. Pálfy","A. Kocsis",,45613,Y.,Alméras,M.,Bécaud,"M. Cougnon",2010,"Brachiopodes liasiques de la Bordure Sud du Massif Armoricain","Bulletin de la Société des Sciences Naturelles de l'Ouest de la France",,,,1,131,"serial monograph","stated with evidence",French,,,,,"2013-03-16 00:44:40","2013-03-16 00:44:40"
"J. Pálfy","A. Kocsis",,39935,Y.,Alméras,M.,Cougnon,"M. Bécaud",2010,"Les Brachiopodes liasiques de la Bordure Sud du Massif Armoricain: Succession des peuplements et environnements ; chronostratigraphie","Revue de Paléobiologie",,29,2,319,339,"journal article","stated with evidence",French,,,,,"2012-02-05 03:45:22","2012-02-05 03:45:22"
"J. Pálfy","A. Kocsis","A. Kocsis",45917,Y.,Alméras,M.,Cougnon,"R. Enay, C. Mangold",2010,"Brachiopodes du Jurasique Inférieur et moyen d'Arabie Saoudite centrale","Documents des Laboratoires de Géologie de Lyon",,168,,1,247,"serial monograph","stated with evidence",French,,,,,"2013-03-23 00:05:18","2013-03-23 00:06:28"
"A. Miller","P. Novack-Gottshall",,609,"R. N.",Alonso,S.,Malanca,"R.J. Sureda",1982,"Consideraciones sobre el Ordovicico el la Sierra de Aguilar, Jujuy, Argentina","Revista del Instituto de Ciencas Geologicas",,5,,15,37,,"stated without evidence",Spanish,,,,,"2002-03-04 16:40:31","2002-03-05 11:40:31"
"J. Alroy","J. Alroy","J. Alroy",6294,J.,Alroy,,,,2002,"Synonymies and reidentifications of North American fossil mammals",,,,,,,unpublished,"stated without evidence",,,,,,"2002-05-25 14:32:19","2002-11-26 05:33:43"
"J. Alroy","J. Alroy","J. Alroy",18120,J.,Alroy,,,,2006,"Synonymies and reidentifications of North American fossil vertebrates",,,,,,,unpublished,"stated without evidence",English,,,,,"2006-07-28 22:52:24","2006-07-29 15:52:46"
"J. Alroy","J. Alroy",,19636,J.,Alroy,,,,2007,"Synonymies and reidentifications of North American fossil vertebrates and so forth",,,,,,,unpublished,"stated without evidence",English,,,,,"2007-01-11 17:43:03","2007-01-12 12:43:07"
"J. Alroy","J. Alroy",,26812,J.,Alroy,,,,2008,"Synonymies, reidentifications, and other arbitrary pronouncements mostly concerning fossil vertebrates",,,,,,,unpublished,"stated with evidence",English,,,,,"2008-03-20 15:29:25","2008-03-21 09:29:25"
"J. Alroy","J. Alroy",,29343,J.,Alroy,,,,2009,"High-handed opinions on taxonomy and other matters",,,,,,,unpublished,"stated without evidence",English,,,,,"2009-03-07 17:40:56","2009-03-08 12:40:56"
"A. Hendy","A. Hendy",,28065,P.,Alsen,,,,2006,"The Early Cretaceous (Late Ryazanian-Early Hauterivian) ammonite fauna of North-East Greenland: taxonomy, biostratigraphy, and biogeography","Fossils and Strata",,53,,1,229,"journal article","stated with evidence",English,,,,,"2008-08-26 11:36:28","2008-08-27 04:36:28"
"W. Kiessling","U. Merkel",,33295,P.,Alsen,J.,Mutterlose,,2009,"The Early Cretaceous of north-east Greenland: a crossroads of belemnite migration","Palaeogeography, Palaeoclimatology, Palaeoecology",,280,,168,182,"journal article","stated without evidence",English,,,,,"2010-08-10 00:28:42","2010-08-10 17:28:42"
"W. Kiessling","U. Merkel",,18051,P.,Alsen,"P. F.",Rawson,,2005,"The Early Valanginian (Early Cretaceous) ammonite Delphinites (Pseudogarnieria) from North-East Greenland","Bulletin of the Geological Society of Denmark",,52,2,201,212,"journal article","stated without evidence",English,,,,,"2006-07-21 06:02:02","2006-07-21 23:02:02"
"M. Carrano","M. Carrano",,27189,J.,Alvarado-Ortega,E.,Ovalles-Damián,,2008,"Triplomystus applegatei, sp. nov. (Teleostei: Ellimmichthyiformes), a rare ""triple armored herring"" from El Espinal Quarry (Early Cretaceous), Chiapas, southeastern Mexico","Journal of Vertebrate Paleontology",,28,1,53,60,"journal article","stated without evidence",English,,,ETE,,"2008-05-16 13:06:39","2008-05-17 06:06:39"
"A. Miller","J. Sessa","J. Sessa",7094,F,Alvarez,,,,1990,"Devonian Athyrid Brachiopods from the Cantabrian Zone (NW Spain)","Biostratigraphie du Paleozoique ",,11,,1,311,"journal article","stated without evidence",,,"30 plates, 187 figures",,,"2002-09-07 10:34:07","2002-09-08 03:34:07"
"A. Hendy","A. Hendy","A. Hendy",36761,A.,Alván,J.,Apolín,"C. Chacaltana",2004,"Los dientes de Seláceos (Condrichthyies) y su aplicaión estratigráfica en Las Lomas de Ullujaya (Ica, Perú)","XIII Congreso Peruano de Geología. Resúmenes Extendidos",,,,595,598,"journal article","stated without evidence",Spanish,,,,,"2011-07-24 05:03:59","2011-07-24 05:04:11"
"A. Hendy","A. Hendy",,27590,K.,Amano,,,,1986,"Age and characteristics of the so-called ""Atsunai-Togeshita fauna"" in Hokkaido","Paleontological Society of Japan Special Papers",,29,,187,198,"journal article","stated with evidence",English,,,,,"2008-07-11 19:56:22","2008-07-12 12:56:22"
"A. Miller","A. Hendy",,17905,K.,Amano,V.D.,Khudik,,1996,"An early Middle Miocene warm-water molluscan fauna in southwestern Sakhalin - Molluscs from the Ausinskaya Formation around Novoselovo","Transactions and Proceedings of the Paleontological Society of Japan, N.S.",,184,,651,661,"journal article","stated with evidence",English,,,,,"2006-07-07 18:19:32","2006-07-08 11:19:32"
"A. Miller","A. Hendy","A. Hendy",13710,K.,Amano,T.,Nobuhara,,1995,"A species of Mizuhopecten yessoensis Group from the Kakegawa Group, central Japan","Bulletin of the Mizunami Fossil Museum",,22,,103,108,"journal article","stated without evidence",English,,,,,"2005-06-07 16:16:41","2005-06-08 09:16:41"
"A. Hendy","A. Hendy",,33142,K.,Amano,M.,Suzuki,"T. Sato",2000,"Warm-water influx into Japan Sea in the middle Pliocene - Molluscan faunas from the Tentokuji FOrmation around Mt. Taihei in Akita Prefecture","Journal of the Geological Society of Japan",,106,4,299,306,"journal article","stated without evidence",Japanese,,,,,"2010-07-17 15:42:27","2010-07-18 08:42:27"
"M. Uhen","M. Uhen","J. Alroy",16574,F.,Ameghino,,,,1883,"Sobre una colección de mamíferos fósiles del Piso Mesopotámico de la formación Patagónica recogidos en las barrancas del Paraná por el Profesor Pedro Scalabrini. ","Bol. de la Acad. Nac. Cienc. Córdoba ",,V,1,101,116,"journal article","stated without evidence",Spanish,,,,,"2006-02-07 10:17:50","2009-03-18 10:10:28"
"M. Uhen","M. Uhen","M. Uhen",12218,F.,Ameghino,,,,1901,"L' age des Formations sedimentaires de Patagonie","Anales de la Sociedad Cientifica Argentina",,52,,189,197,"journal article","stated without evidence",Portugese,,,,,"2004-12-11 13:58:03","2005-09-26 06:51:30"
"M. Foote","M. Foote","M. Foote",10247,M.R.W.,Amler,D.,Heidelberger,,2003,"Late Famennian Gastropoda from south-west England",Palaeontology,,46,6,1151,1211,"journal article","stated without evidence",,,,,,"2004-04-14 12:37:57","2004-04-15 05:37:57"
"M. Foote","M. Foote","M. Foote",10269,"M. R. W.",Amler,E.,Thomas,"K. M. Weber",1990,"Bivalven des hoechsten Oberdevons im Bergischen Land (Strunium; noerdliches Rheinisches Schiefergebirge)","Geologica et Palaeontologica",,24,,,,"journal article","stated without evidence",German,,,,,"2004-04-19 11:44:54","2004-04-20 04:44:54"
"W. Kiessling","U. Merkel",,24377,"A. J.",Amos,,,,1957,"New syringothyrid brachiopods from Mendoza, Argentina","Journal of Paleontology",,31,1,99,104,"journal article","stated without evidence",English,,,1%,20240,"2007-05-23 01:09:17","2007-05-23 18:09:17"
"M. Uhen","M. Uhen","M. Uhen",10315,"F. M.",Anderson,,,,1911,"The Neocene deposits of Kern River, California, and the Temblor Basin","Proceedings of the Califonia Academy of Sciences",,3,,73,148,"journal article","stated without evidence",,,"Fourth Series",,,"2004-04-22 07:15:26","2005-03-07 10:28:53"
"A. Hendy","A. Hendy",,29642,"F. M.",Anderson,,,,1928,"Notes on Lower Tertiary deposits of Colombia and their molluscan and foraminiferal fauna","Proceedings of the California Academy of Sciences",,17,1,1,29,"journal article","stated with evidence",English,,,,,"2009-04-06 07:26:54","2009-04-07 00:26:54"
"A. Hendy","A. Hendy",,29644,"F. M.",Anderson,,,,1929,"Marine Miocene and related deposits of North Colombia","Proceedings of the Academy of Sciences",,18,4,73,213,"serial monograph","stated with evidence",English,,,,,"2009-04-06 11:07:58","2009-04-07 04:07:58"
"A. Miller","A. Hendy","A. Hendy",11375,"R. V.",Anderson,,,,1936,"Geology of the Coastal Atlas of western Algeria","Geological Society of America Memoir",,4,,,,"serial monograph","stated without evidence",,,,,,"2004-08-05 11:30:02","2004-08-06 04:30:02"
"A. Miller","A. Hendy","A. Hendy",11610,F.M,Anderson,,,,1958,"Upper Cretaceous of the Pacific Coast","Geological Society of America Memoir",,71,,,,"serial monograph","stated without evidence",,,,,,"2004-09-04 20:27:35","2004-09-05 13:27:35"
"L. Ivany","P. Wall","P. Wall",11720,"D. R.",Anderson,,,,1965,"Biostratigraphy of the Vicksburgian Equivalent at Toledo Bend Dam Site, Louisiana and Texas","Transactions of The Gulf Coast Association of Geological Societies",,15,,61,71,"journal article","stated without evidence",,,,,,"2004-09-28 11:01:04","2004-09-29 04:01:04"
"A. Hendy","A. Hendy","A. Hendy",24475,"L. C.",Anderson,,,,1996,"Neogene Paleontology in the Northern Dominican Republic 16. The Family Corbulidae (Mollusca: Bivalvia)","Bulletins of American Paleontology",,110,351,5,34,"serial monograph","stated with evidence",English,,,,,"2007-05-29 16:16:00","2007-05-30 09:16:18"
"P. Gensel","P. Gensel","P. Gensel",6188,"J. M.",Anderson,"H. M.",Anderson,,1985,"Palaeoflora of Southern Africa. Prodromus of South African Megafloras Devonian to Lower Cretaceous. ","Palaeoflora of Southern Africa. Prodromus of South African Megafloras Devonian to Lower Cretaceous. A.A. Balkema, Rotterdam. ",,,,1,423,"book/book chapter","stated without evidence",,,,,,"2002-05-13 11:57:55","2002-05-14 05:07:16"
"M. Foote","M. Foote","M. Foote",9624,"M. M.",Anderson,"A. J.",Boucot,"J. G. Johnson",1966,"Devonian terebratulid brachiopods from the Accraian Series of Ghana","Journal of Paleontology",,40,6,1365,1367,"journal article","stated without evidence",,,,,,"2003-12-30 11:28:04","2003-12-31 06:28:20"
"M. Uhen","M. Uhen",,45188,C.,Anderung,S.,Danise,"A. G. Glover, N. D. Higgs, L. Jonsson, R. Sabin, T. G. Dahlgren",2013,"A Swedish subfossil find of a bowhead whale from the late Pleistocene: shore displacement, paleoecology in south-west Sweden and the identity of the Swedenborg whale (Balaena swedenborgii Liljeborg, 1867)","Historical Biology",,,,,,"journal article","stated without evidence",English,10.1080/08912963.2012.757605,,,,"2013-02-27 04:34:11","2013-02-27 04:34:11"
"J. Alroy","J. Alroy",,31954,B.,Andreu,G.,Tronchetti,,1994,"Ostracodes et foraminifères du Crétace supérieur du synclinal d'El Koubbat, moyen Atlas, Maroc",Geobios,,29,1,45,71,"journal article","not entered",French,,,,,"2010-02-08 21:13:02","2010-02-09 16:13:02"
"M. Uhen","M. Uhen","M. Uhen",36316,"C. W.",Andrews,,,,1902,"Preliminary note on some recently discovered extinct vertebrates from Egypt. (Part III)","Geological Magazine",,"Decade 4",9,291,295,"journal article","stated without evidence",English,,,,,"2011-06-02 23:58:03","2011-06-02 23:58:54"
"P. Mannion","P. Mannion",,46727,"C. W.",Andrews,,,,1905,"Notes on some new Crocodilia from the Eocene of Egypt","Geological Magazine",,2,11,481,484,"journal article","stated without evidence",English,,,,,"2013-05-08 23:30:07","2013-05-08 23:30:07"
"M. Clapham","M. Clapham","M. Clapham",34756,"V. N.",Andrianov,,,,1985,,"Permskie I Nekotorye Kamennougol'nye Ammonoidei Severo-vostoka Azii",,,,1,180,"book/book chapter","stated with evidence",Russian,,,,,"2011-01-13 16:21:57","2013-04-07 06:03:15"
"A. Hendy","A. Hendy",,25525,"L. E.",Anelli,"A. C.",Rocha-Campos,"P. R. dos Santos, J. A. de J. Perinotto, F. Quaglio",2006,"Early Miocene bivalves from the Cape Melville Formation, King George Island, West Antarctic",Alcheringa,,30,1,111,132,"journal article","stated with evidence",English,,,,,"2007-10-18 16:38:11","2007-10-19 09:38:11"
"W. Kiessling","S. Nurnberg","S. Nurnberg",13536,L.,Angiolini,,,,1995,"Permian brachiopods from Karakorum (Pakistan). Pt. 1 (With Appendix).","Revista Italiana di Paleontologia e Stratigrafia",,101,2,165,214,"journal article","stated without evidence",,,,,,"2005-05-17 03:05:18","2005-05-17 20:05:18"
"M. Clapham","M. Clapham",,27466,L.,Angiolini,,,,2001,"New syringothyridid genus (Spiriferinida, Brachiopoda) from the Early Permian of interior Oman","Rivista Italiana di Paleontologia e Stratigrafia",,107,1,125,130,"journal article","stated without evidence",English,,,,,"2008-06-27 19:07:36","2008-06-28 12:07:36"
"M. Clapham","M. Clapham",,27475,L.,Angiolini,,,,2007,"Quantitative palaeoecology in the Pachycyrtella bed, Early Permian of interior Oman",Palaeoworld,,16,,233,245,"journal article","stated without evidence",English,,,,,"2008-06-27 22:06:30","2008-06-28 15:06:30"
"M. Clapham","M. Clapham","M. Clapham",33516,L.,Angiolini,M.,Balini,"E. Garzanti, A. Nicora, A. Tintori",2003,"Gondwana deglaciation and opening of Neotethys: the Al Khlata and Saiwan Formations of interior Oman","Palaeogeography, Palaeoclimatology, Palaeoecology",,196,,99,123,"journal article","none discussed",English,,,,,"2010-08-29 14:27:20","2011-12-12 06:55:23"
"M. Clapham","M. Clapham",,38789,L.,Angiolini,M.,Balini,"E. Garzanti, A. Nicora, A. Tintori, S. Crasquin, G. Muttoni",2003,"Permian climatic and paleogeographic changes in northern Gondwana: the Khuff Formation of interior Oman","Palaeogeography, Palaeoclimatology, Palaeoecology",,191,,269,300,"journal article","none discussed",English,,,,,"2011-12-12 06:56:34","2011-12-12 06:56:34"
"J. Alroy","D. Lamb","D. Lamb",13542,L.,Angiolini,H.,Brunton,"A. Zanchi",1999,"Late Carboniferous brachiopods from Karakorum, Pakistan","Rivista Italiana di Paleontologia e Stratigrafia",,105,1,3,22,"journal article","stated without evidence",,,,,,"2005-05-17 14:50:35","2005-05-18 07:50:54"
"A. Miller","A. Hendy",,17938,L.,Angiolini,H.,Brunton,"M. Gaetani",2005,"Early Permian (Asselian) brachiopods from Karakorum (Pakistan) and their paleobiogeographical significance",Palaeontology,,48,1,69,86,"journal article","stated with evidence",English,,,,,"2006-07-10 15:54:26","2006-07-11 08:54:38"
"M. Clapham","M. Clapham",,27465,L.,Angiolini,H.,Bucher,"A. Pillevuit, J.-P. Platel, J. Roger, J. Broutin, A. Baud, J. Marcoux, H. Al Hashmi",1997,"Early Permian (Sakmarian) brachiopods from southeastern Oman",Geobios,,30,3,379,405,"journal article","stated without evidence",English,,,,,"2008-06-27 18:52:53","2008-06-28 11:52:53"
"T. Olszewski","L. Fall","J. Alroy",18222,L.,Angiolini,H.,Bucher,,1999,"Taxonomy and quantitative biochronology of Guadalupian brachiopods from the Khuff Formation, southeastern Oman",Géobios,,32,5,665,699,"journal article","stated without evidence",English,,,,,"2006-08-12 12:10:17","2006-12-31 09:12:36"
"M. Clapham","M. Clapham",,27470,L.,Angiolini,L.,Carabelli,"A. Nicora, S. Crasquin-Soleau, J. Marcoux, R. Rettori",2007,"Brachiopods and other fossils from the Permo-Triassic boundary beds of the Antalya Nappes (SW Taurus, Turkey)",Geobios,,40,,715,729,"journal article","stated without evidence",English,,,,,"2008-06-27 19:59:04","2008-06-28 12:59:04"
"M. Clapham","M. Clapham",,40791,L.,Angiolini,L.,Carabelli,,2010,"Upper Permian brachiopods from the Nesen Formation, north Iran","Special Papers in Palaeontology",,84,,41,90,"journal article","stated with evidence",English,,,,,"2012-03-14 11:32:45","2012-03-14 11:32:45"
"M. Clapham","M. Clapham",,27418,L.,Angiolini,D.,Vaslet,"Y.-M. Le Nindre, M. Zarbo",2006,"New records and new taxa of Permian brachiopods from the Khuff Formation, Midhnab Member, central Saudi Arabia",GeoArabia,,11,4,45,57,"journal article","stated without evidence",English,,,,,"2008-06-21 20:21:07","2008-06-22 13:21:07"
"M. Clapham","J. Karr","R. Day",34904,"L. N.",Anisyutkin,"V. G.",Grachev,"A. G. Ponomarenko, A. P. Rasnitsyn, P. Vrsansky",2008,"Fossil insects in the Cretaceous Mangrove Facies of Southern Negev, Israel","Plant-Arthropod interactions in the early angiosperm history: evidence from the Cretaceous of Israel","V. Krassilov, A. P. Rasnitsyn",,,190,229,"book/book chapter","stated with evidence",English,,,,,"2011-01-28 05:53:12","2011-08-11 07:30:46"
"M. Carrano","M. Carrano",,28215,,Anonymous,,,,2008,"Lidar maps dinosaur trackways","Laser Focus World",,44,3,15,,"news article","none discussed",English,,,,,"2008-09-29 08:57:28","2008-09-30 01:57:28"
"M. Clapham","M. Clapham",,44748,J.,Ansorge,,,,1993,"Dobbertiniopteryx capniomimus gen. et sp. nov. - die erste Steinfliege (Insecta: Plecoptera) aus dem europäischen Jura","Palaeontologische Zeitschrift",,67,,287,292,"journal article","stated with evidence",German,,,,,"2013-02-09 14:42:39","2013-02-09 14:42:39"
